cc_id,kr_material_id,ec_facet_id,ec_material_id,kr_matches_ec_material,ec_primary_texture_id,ec_layer_texture_ids,ec_layer_repetitions,notes
1,0,1,1,false,2000011,2000010|2000011|1000003,10.000000|4.000000|32.000000,different_material_route
2,0,2,0,true,2000000,2000000|2000001|1000003,8.000000|6.000000|32.000000,
3,1,3,193,false,2000103,2000103|2000103|1000003,6.000000|4.000000|32.000000,different_material_route
4,1,4,4,false,2000040,2000040|2000041|1000003,4.000000|4.000000|16.000000,different_material_route
5,1,5,5,false,2000051,1000013|2000051|1000017,16.000000|4.000000|1.000000,different_material_route
6,1,6,6,false,2000061,2000060|2000061|1000003,9.000000|6.000000|24.000000,different_material_route
9,20,9,20,true,2000200,2000200|2000201|1000003,5.000000|5.000000|16.000000,
10,20,10,10,false,2000100,1000012|2000100|2000100|2000101,12.000000|4.000000|6.000000|8.000000,different_material_route
11,20,11,11,false,2000110,2000110|2000111|1000003,4.000000|4.000000|16.000000,different_material_route
12,20,12,12,false,2000120,2000120|2000121|1000003,4.000000|4.000000|16.000000,different_material_route
13,20,13,13,false,2000131,2000130|2000131|1000003,12.000000|6.000000|16.000000,different_material_route
14,20,14,14,false,2000140,2000140|2000141|1000003,5.000000|5.000000|16.000000,different_material_route
15,20,15,15,false,2000151,2000151|2000151|1000003,5.000000|5.000000|16.000000,different_material_route
16,20,16,16,false,2000160,2000160|2000161|1000003,5.000000|5.000000|16.000000,different_material_route
17,20,17,17,false,2000170,2000170|2000171|1000003,5.000000|5.000000|16.000000,different_material_route
18,20,18,18,false,2000180,2000180|2000181|1000003,5.000000|5.000000|16.000000,different_material_route
19,20,19,19,false,2000190,2000190|2000191|1000003,5.000000|5.000000|16.000000,different_material_route
20,20,20,20,true,2000200,2000200|2000201|1000003,5.000000|5.000000|16.000000,
21,20,21,21,false,2000210,2000210|2000211|1000003,5.000000|5.000000|16.000000,different_material_route
22,7,22,2007,false,2000070,2000070|2000071|1000003,6.000000|6.000000|16.000000,different_material_route
23,7,23,23,false,2000220,2000220|2000221|1000003,4.000000|4.000000|16.000000,different_material_route
24,7,24,24,false,2000240,2000240|2000241|1000003,5.000000|5.000000|16.000000,different_material_route
25,7,25,2007,false,2000070,2000070|2000071|1000003,6.000000|6.000000|16.000000,different_material_route
26,54,26,2054,false,2000540,2000540|2000541|1000003,1.000000|1.000000|8.000000,different_material_route
27,56,27,56,true,2000560,2000560|2000561|1000003,1.000000|1.000000|8.000000,
28,55,28,55,true,2000550,2000550|2000551|1000003,2.000000|2.000000|8.000000,
29,55,29,29,false,2000290,2000290|2000291|1000003,4.000000|4.000000|16.000000,different_material_route
30,57,30,57,true,2000570,2000570|2000571|1000003,1.000000|1.000000|8.000000,
31,57,31,31,false,2000310,2000310|2000311|1000003,4.000000|4.000000|16.000000,different_material_route
32,55,32,32,false,2000320,2000320|2000321|1000003,4.000000|4.000000|16.000000,different_material_route
33,56,33,33,false,2000330,2000330|2000331|1000003,4.000000|4.000000|16.000000,different_material_route
34,54,34,34,false,2000340,2000340|2000341|1000003,4.000000|4.000000|16.000000,different_material_route
35,54,35,35,false,2000350,2000350|2000351|1000003,4.000000|4.000000|16.000000,different_material_route
36,56,36,36,false,2000360,2000360|2000361|1000003,4.000000|4.000000|16.000000,different_material_route
37,56,37,37,false,1299,1299|1300|1000003,2.500000|2.500000|16.000000,different_material_route
38,54,38,38,false,2000380,2000380|2000381|1000003,4.000000|4.000000|16.000000,different_material_route
39,54,39,39,false,2000390,2000390|2000391|1000003,4.000000|4.000000|16.000000,different_material_route
40,56,40,40,false,2000400,2000400|2000401|1000003,4.000000|4.000000|16.000000,different_material_route
41,56,41,41,false,2000410,2000410|2000411|1000003,2.000000|2.000000|16.000000,different_material_route
42,54,42,42,false,2000420,2000420|2000421|1000003,4.000000|4.000000|16.000000,different_material_route
43,54,43,43,false,2000430,2000430|2000431|1000003,4.000000|4.000000|16.000000,different_material_route
44,,44,44,,2000440,2000440|2000440|1000003,5.000000|5.000000|16.000000,
45,57,45,45,false,2000450,2000450|2000450|1000003,5.000000|5.000000|16.000000,different_material_route
46,55,46,46,false,2000580,2000580|2000581|1000003,5.000000|5.000000|16.000000,different_material_route
47,55,47,47,false,2000600,2000600|2000601|1000003,5.000000|5.000000|16.000000,different_material_route
48,55,48,48,false,2000480,2000480|2000481|1000003,5.000000|5.000000|16.000000,different_material_route
49,56,49,49,false,2000490,1000012|2000490|2000490,12.000000|8.000000|8.000000,different_material_route
50,54,50,50,false,2000500,2000500|2000501|1000003,5.000000|5.000000|16.000000,different_material_route
51,7,51,51,false,2000510,2000510|2000511|1000003,5.000000|5.000000|16.000000,different_material_route
52,7,52,52,false,2000520,2000520|2000520|1000003,5.000000|5.000000|16.000000,different_material_route
53,7,53,53,false,2000532,2000532|2000530|2000530|2000531,24.000000|0.500000|0.500000|24.000000,different_material_route
54,7,54,54,false,2000540,2000540|2000541|1000003,1.000000|1.000000|8.000000,different_material_route
55,7,55,55,false,2000550,2000550|2000551|1000003,2.000000|2.000000|8.000000,different_material_route
56,7,56,56,false,2000560,2000560|2000561|1000003,1.000000|1.000000|8.000000,different_material_route
57,7,57,57,false,2000570,2000570|2000571|1000003,1.000000|1.000000|8.000000,different_material_route
58,7,58,58,false,2000580,2000580|2000581|1000003,5.000000|5.000000|16.000000,different_material_route
59,7,59,59,false,2000590,2000590|2000591|1000003,5.000000|5.000000|16.000000,different_material_route
60,7,60,60,false,2000600,2000600|2000601|1000003,5.000000|5.000000|16.000000,different_material_route
61,7,61,61,false,2000610,2000610|2000611|1000003,5.000000|5.000000|16.000000,different_material_route
62,7,62,62,false,2000620,2000620|2000621|1000003,5.000000|5.000000|16.000000,different_material_route
68,56,68,68,false,2000680,2000680|2000681|1000003,5.000000|5.000000|16.000000,different_material_route
69,54,69,69,false,2000480,2000480|2000481|1000003,5.000000|5.000000|16.000000,different_material_route
70,54,70,70,false,2000700,2000703|2000700|2000702|2000704,16.000000|4.000000|2.500000|10.000000,different_material_route
